center,left,right,steer,stuff,stuff,speed
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_487.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_487.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_487.jpg,0.1682636,0.3022058,0,16.58476
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_565.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_565.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_565.jpg,0.1682636,0.06735086,0,16.60195
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_641.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_641.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_641.jpg,0.1760761,0,0,16.46043
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_717.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_717.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_717.jpg,0.1938753,0,0,16.32538
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_793.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_793.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_793.jpg,0.1938753,0,0,16.77078
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_871.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_871.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_871.jpg,0.1938753,0,0,16.64224
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_52_938.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_52_938.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_52_938.jpg,0.1876474,0,0,16.51736
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_019.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_019.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_019.jpg,-0.0870799,0,0,16.373
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_095.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_095.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_095.jpg,-0.1059847,0,0,15.73403
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_174.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_174.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_174.jpg,-0.1059847,0,0,15.59592
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_250.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_250.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_250.jpg,-0.1059847,0,0,15.47033
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_327.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_327.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_327.jpg,-0.1059847,0,0,15.35723
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_404.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_404.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_404.jpg,-0.1035525,0,0,15.23787
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_476.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_476.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_476.jpg,-0.1035525,0,0,15.11702
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_552.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_552.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_552.jpg,-0.1035525,0,0,15.54683
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_624.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_624.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_624.jpg,-0.1035525,0,0,15.42537
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_698.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_698.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_698.jpg,-0.1035525,0,0,15.30347
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_777.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_777.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_777.jpg,-0.1035525,0,0,15.18279
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_858.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_858.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_858.jpg,-0.1035525,0,0,15.06321
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_53_929.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_53_929.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_53_929.jpg,-0.1035525,0,0,14.46269
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_002.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_002.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_002.jpg,-0.1035525,0,0,14.34703
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_075.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_075.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_075.jpg,-0.1035525,0,0,14.76879
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_148.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_148.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_148.jpg,-0.1035525,0,0,14.65445
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_225.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_225.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_225.jpg,-0.1035525,0,0,14.53848
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_296.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_296.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_296.jpg,-0.1035525,0,0,14.42799
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_367.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_367.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_367.jpg,-0.1043264,0,0,13.76744
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_436.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_436.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_436.jpg,-0.1035156,0,0,13.67043
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_512.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_512.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_512.jpg,-0.1035156,0,0,14.11232
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_580.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_580.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_580.jpg,-0.1035156,0,0,13.98997
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_01_54_721.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_01_54_721.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_01_54_721.jpg,-0.1035156,0,0,13.26663
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_271.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_271.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_271.jpg,0,0,0,19.57501
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_344.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_344.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_344.jpg,0,0,0,19.40758
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_417.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_417.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_417.jpg,0.01319281,0.1321589,0,19.29757
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_494.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_494.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_494.jpg,0.04322671,0.3284308,0,19.68603
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_565.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_565.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_565.jpg,0.07189711,0.5749648,0,19.93301
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_635.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_635.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_635.jpg,0.07889888,0.731256,0,20.06089
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_708.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_708.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_708.jpg,0.09467129,0.972339,0,20.7895
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_777.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_777.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_777.jpg,0.09548201,1,0,21.61492
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_848.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_848.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_848.jpg,0.1025575,1,0,22.26519
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_924.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_924.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_924.jpg,0.1025575,1,0,23.04316
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_07_991.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_07_991.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_07_991.jpg,0.1025575,1,0,23.61515
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_063.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_063.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_063.jpg,0.1025575,1,0,24.39669
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_134.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_134.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_134.jpg,0.1025575,1,0,24.97861
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_203.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_203.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_203.jpg,0.1025575,1,0,25.74558
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_279.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_279.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_279.jpg,0.1025575,1,0,26.50697
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_351.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_351.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_351.jpg,0.09765625,1,0,27.07427
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_421.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_421.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_421.jpg,0.09183373,0.7576238,0,27.72074
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_493.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_493.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_493.jpg,0.09183373,0.575176,0,28.04839
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_567.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_567.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_567.jpg,0.04831221,0.349255,0,28.27796
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_639.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_639.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_639.jpg,-0.09286556,0.1054028,0,28.27788
/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/center_2018_07_07_18_02_08_711.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/left_2018_07_07_18_02_08_711.jpg,/Users/hitesh/Documents/GitHub/CarND-Behavioral-Cloning-P3/owndata-recovery2/IMG/right_2018_07_07_18_02_08_711.jpg,-0.1015625,0,0,28.12176
